scene,seed,base_med_oai,base_med_ideal,tput_inflation_pct,mean_inflation_pct,gain_oai_pct,gain_ideal_pct,n_steer_oai,n_steer_ideal,steer_jaccard,cio_diff_cells,decisions_differ
berlin_mitte,0,9.998460000000001,14.034525000000002,40.36686649744061,27.812589563665203,0.0,-7.65950397323744,2,3,0.6666666666666666,1,1
berlin_mitte,1,7.141757142857145,7.141757142857145,0.0,37.96626149078954,7.692307692307674,16.666666666666668,3,4,0.16666666666666666,5,1
berlin_mitte,2,8.83575,10.8867,23.211951447245546,28.84698225353938,14.9134199134199,2.04561529205362,4,5,0.8,1,1
berlin_mitte,3,7.866960000000001,9.998460000000001,27.094328686049003,34.32737766702188,0.17719678249285417,11.111111111111104,1,2,0.5,1,1
berlin_mitte,4,12.498075000000002,12.498075000000002,0.0,20.809810924273968,14.285714285714302,14.285714285714302,2,2,1.0,0,0
berlin_mitte,5,7.8809000000000005,11.3291,43.75388597748988,32.77947787996057,2.008336611300736,10.318339497400512,1,2,0.5,1,1
berlin_mitte,6,8.7212475,13.282020000000001,52.294955509518566,41.690243779424925,0.0,0.0,0,0,1.0,0,0
berlin_mitte,7,10.8324,15.70437,44.97590561648389,40.933120034695094,0.0,0.0,0,0,1.0,0,0
paris_opera,0,8.637885,13.52106,56.53206774575025,32.998765019871364,18.945783603277896,20.125936871813302,4,4,1.0,0,0
paris_opera,1,7.88719090909091,9.089509090909091,15.243934065706075,27.788341210510932,19.67822395575796,22.222222222222225,3,3,1.0,0,0
paris_opera,2,7.858560000000001,12.76644,62.452663083312956,26.555814022298268,50.23534846078671,22.929023282919925,2,1,0.5,1,1
paris_opera,3,4.2363,6.988500000000001,64.96707032079883,34.16962784793843,34.139225267332336,41.41146168705729,4,4,1.0,2,0
paris_opera,4,11.79594,14.28351428571429,21.088393851734494,28.518747347269148,0.0,0.0,0,0,1.0,0,0
paris_opera,5,7.42398,11.722439999999999,57.89967106592419,30.297813431972624,7.259179038736647,0.0,1,0,0.0,1,1
paris_opera,6,7.141757142857145,8.190398571428572,14.683241219147726,19.7408912330276,16.666666666666668,32.00864636100912,4,2,0.0,5,1
paris_opera,7,9.998460000000001,12.498075000000002,25.0,26.465696108013436,0.866833492357821,0.0,2,2,1.0,0,0
manhattan_mid,0,10.90548,12.498075000000002,14.603621298649863,29.10090482266199,4.723863598851218,33.33333333333335,4,4,1.0,0,0
manhattan_mid,1,5.436490909090908,8.516323636363637,56.65111519128318,34.20531628652886,26.529491187258422,6.730432978122438,2,2,1.0,0,0
manhattan_mid,2,7.707522857142859,8.790840000000001,14.055321832139496,22.399883740390205,0.0,0.0,1,1,1.0,0,0
manhattan_mid,3,3.4994284615384617,6.428693076923078,83.70694379323922,42.61925133274821,14.981633264508899,29.231554541352512,1,2,0.5,2,1
manhattan_mid,4,11.00744,12.47706,13.351151584746308,40.418942967382435,0.9262825870502137,0.0,1,1,1.0,0,0
manhattan_mid,5,9.089509090909091,10.8867,19.772144910316175,14.761467508871617,0.0,7.845352586183149,1,3,0.3333333333333333,2,1
manhattan_mid,6,6.17674090909091,9.089509090909091,47.157040010067085,29.045335529640592,14.43717008749096,0.0,2,2,1.0,0,0
manhattan_mid,7,12.95955,19.656675,51.67714156741553,16.623698345259857,0.0,0.0,0,0,1.0,0,0
