scene,seed,base_mean,base_median,base_edge,base_served_edge,base_outage,base_jain,base_max_load,steer_mean,steer_median,steer_edge,steer_served_edge,steer_outage,steer_jain,steer_max_load,gain_mean_pct,gain_median_pct,gain_servededge_pct,gain_jain_pct,outage_delta,load_delta
berlin_mitte,0,24.86491897090909,16.202523518181817,0.0,3.642454390909091,0.13333333333333333,0.5334520766048708,11.0,26.59822914,21.196735200000003,0.0,8.890974719999999,0.13333333333333333,0.5930798874551446,9.0,6.970906163494076,30.823665685248866,144.0929594668438,11.177725884913981,0.0,-2.0
berlin_mitte,1,19.173174181714284,13.626472628571433,1.6300398342857152,5.510494800000001,0.06666666666666667,0.6332159049762405,14.0,20.710733256,15.897551400000003,2.913229800000001,6.886544400000001,0.06666666666666667,0.688394593691386,12.0,8.019324602767695,16.66666666666665,24.9714345071154,8.714040232014694,0.0,-2.0
berlin_mitte,2,17.205515928,16.858611000000003,4.43344788,5.0607792,0.03333333333333333,0.6892882840755836,9.0,18.77823072,18.316728450000003,4.702960035,5.31381816,0.03333333333333333,0.6818434902935864,9.0,9.14075926918638,8.649096002037176,5.00000000000001,-1.0800696825975493,0.0,0.0
berlin_mitte,3,16.053545663999998,14.14927008,0.0,5.44687254,0.13333333333333333,0.5787425530926696,10.0,15.943579991999998,14.14927008,0.0,7.056318240000001,0.13333333333333333,0.6409923762206647,9.0,-0.6849930495204996,0.0,29.548069799334815,10.75604736429801,0.0,-1.0
berlin_mitte,4,29.874715110000007,21.196735200000003,0.0,6.3781101,0.1,0.45538270249301527,9.0,31.04071557942858,25.950375462857142,0.0,10.207494720000001,0.1,0.49287361214331826,7.0,3.9029676605628083,22.42628507647319,60.03948755917528,8.232835688544414,0.0,-2.0
berlin_mitte,5,21.263112612,13.0384134,0.0,5.306625,0.1,0.2865179874768165,9.0,21.094497882000002,11.386753200000001,0.0,6.565645512000001,0.1,0.28656443880953986,8.0,-0.7929917556136115,-12.66764712338388,23.725447191011238,0.01621236179006401,0.0,-1.0
berlin_mitte,6,19.769913719999998,15.793775280000002,0.0,7.894815552000002,0.16666666666666666,0.5441414586489843,8.0,20.37803148,15.682844160000002,0.0,7.894815552000002,0.16666666666666666,0.5419181428864954,8.0,3.0759757913602193,-0.7023724095940159,0.0,-0.40859150265981276,0.0,0.0
berlin_mitte,7,24.531071094,21.286125000000002,1.6942324500000008,9.283123098,0.06666666666666667,0.7211186011441124,8.0,24.653531031428578,22.193092800000002,2.258976600000001,8.58097719,0.06666666666666667,0.7190793449441601,7.0,0.49920338561380156,4.260840336134455,-7.563681969824076,-0.2827906805783158,0.0,-1.0
paris_opera,0,19.952473068000003,16.527706560000002,0.0,7.315946614285715,0.13333333333333333,0.642764202133258,7.0,23.523164370000003,18.547477200000003,0.0,7.278137549999999,0.13333333333333333,0.5991021982813919,8.0,17.895983569709532,12.220513673011391,-0.5168034470329042,-6.7928493383665645,0.0,1.0
paris_opera,1,20.138634720000002,15.03767650909091,0.0,4.313497123636364,0.2,0.4278385078920274,11.0,22.83813036,18.3793824,0.0,7.1897446799999996,0.2,0.31085808500081313,9.0,13.40456131973577,22.22222222222223,66.68017791417701,-27.342191208449222,0.0,-2.0
paris_opera,2,22.945840776,16.796620080000004,0.0,6.893281548000002,0.3333333333333333,0.46731288198153237,12.0,22.264253568,18.82205748,0.0,6.893281548000002,0.3333333333333333,0.5097113619206688,12.0,-2.9704172300929583,12.058601018259129,0.0,9.07282499026251,0.0,0.0
paris_opera,3,14.046628650077924,8.5928688,0.0,4.969797582857144,0.3333333333333333,0.4308756316725113,11.0,14.938083072,10.3770396,0.0,5.8088296800000006,0.3333333333333333,0.4478286372897942,12.0,6.346394171366737,20.763389288569144,16.882621136060354,3.9345473197166347,0.0,1.0
paris_opera,4,24.460796864571428,21.431391942857147,0.0,12.84706008,0.36666666666666664,0.44718042534386754,11.0,24.460796864571428,21.431391942857147,0.0,12.84706008,0.36666666666666664,0.44718042534386754,11.0,0.0,0.0,0.0,0.0,0.0,0.0
paris_opera,5,21.708463228363637,14.321448,0.0,10.14247008,0.3,0.4256492855742473,11.0,21.372180136363635,16.4344626,0.0,10.0954188,0.3,0.4336466202496267,11.0,-1.549087507772658,14.754196642685848,-0.4639035622375884,1.8788554207462393,0.0,0.0
paris_opera,6,22.644902838857146,12.720894942857147,0.0,2.765918571428572,0.2,0.42020772368703574,14.0,20.042032432207797,15.668914768831169,0.0,5.799914364155844,0.2,0.5001624838750428,11.0,-11.49428825184887,23.174625993034805,109.69215883894373,19.027437070042087,0.0,-3.0
paris_opera,7,22.82708304,19.242428040000004,0.0,9.763577259428574,0.2,0.6088693557923865,10.0,25.420879296000006,20.8004436,0.0,16.54144416,0.2,0.611607826040589,10.0,11.362802034122728,8.096772178444885,69.4199136287483,0.4497631917504937,0.0,0.0
manhattan_mid,0,29.00436978,22.389883919999995,0.0,5.238032400000001,0.1,0.41607351939823645,9.0,27.66350869714286,22.82021424,0.0,7.494135552,0.1,0.5926089787595373,7.0,-4.622962308878487,1.9219854892396562,43.07157687684405,42.42891006777422,0.0,-2.0
manhattan_mid,1,19.641865411636367,10.372824654545454,0.0,3.7818239040000003,0.1,0.25745152761946094,11.0,21.087335683636365,13.124682257142858,0.0,4.130053330909091,0.1,0.28615519400423334,11.0,7.359129297076144,26.52949118725841,9.207975721470586,11.149153648526523,0.0,0.0
manhattan_mid,2,23.71445022857143,14.324980525714288,0.0,7.648097250857144,0.4,0.23135077914384738,14.0,21.665199101538462,14.703868440000003,0.0,10.00246280123077,0.4,0.29223838586317086,13.0,-8.641360467062428,2.644945405723837,30.78367694801169,26.318306315910558,0.0,-1.0
manhattan_mid,3,10.27390809046154,5.1885198,0.0,4.4007199560000005,0.4,0.3428279716292452,13.0,11.839556604461539,7.640433726923077,0.0,5.602012974000001,0.4,0.3877459425449396,13.0,15.23907455872194,47.25652057689126,27.29764743066964,13.102189620709064,0.0,0.0
manhattan_mid,4,25.25924244,21.00219552,0.0,9.920844432,0.1,0.5455000878377212,9.0,25.25924244,21.00219552,0.0,9.920844432,0.1,0.5455000878377212,9.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan_mid,5,30.34035340363637,17.0827056,1.8632868872727282,6.1746696000000005,0.06666666666666667,0.3095777240915821,11.0,29.224988640000003,18.694641240000003,2.2773506400000008,8.32399344,0.06666666666666667,0.3605261134861874,10.0,-3.676175912646715,9.436067551266598,34.80872628391323,16.457382243540664,0.0,-1.0
manhattan_mid,6,17.72478099,11.386753200000001,0.0,4.881004404545455,0.13333333333333333,0.3654964660262126,11.0,18.287049509999996,13.486674149999999,0.0,4.881004404545455,0.13333333333333333,0.4536729074071737,11.0,3.1722170238222867,18.44178856884329,0.0,24.125114625496067,0.0,0.0
