seed,ue_id,moved,outage,sinr_base_db,sinr_steer_db,twin_gain_pct,mac_gain_pct,real_gain_pct,gap_vs_mac_pts,fidelity_gap_pts
2,ue25,1,0,3.88,3.87,150.0,150.0,150.0,0.0,0.0
2,ue26,0,0,9.54,9.54,12.5,12.5,12.5,-0.0,0.0
2,ue27,0,0,26.1,26.1,25.0,25.0,25.0,-0.0,-0.0
2,ue28,0,0,4.1,4.1,12.5,12.5,12.5,0.0,0.0
2,ue29,0,0,10.22,10.22,12.5,12.5,12.5,-0.0,0.0
3,ue0,0,0,10.14,10.14,0.0,0.0,0.0,0.0,0.0
3,ue1,0,0,32.27,32.27,11.111,11.111,11.111,-0.0,-0.0
3,ue2,0,0,17.01,17.01,11.111,11.111,11.111,-0.0,-0.0
3,ue3,0,0,31.41,31.41,11.111,11.111,11.111,-0.0,-0.0
3,ue4,0,0,8.3,8.3,11.111,11.111,11.111,-0.0,-0.0
3,ue5,1,0,2.89,4.81,235.177,233.392,225.568,1.784,9.608
3,ue6,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
3,ue7,0,0,28.15,28.15,11.111,11.111,11.111,-0.0,-0.0
3,ue8,0,0,14.36,14.36,0.0,0.0,0.0,0.0,0.0
3,ue9,0,0,19.0,19.0,11.111,11.111,11.111,0.0,0.0
3,ue10,0,0,4.37,4.37,0.0,0.0,0.0,0.0,0.0
3,ue11,0,0,5.38,5.38,0.0,0.0,0.0,0.0,0.0
3,ue12,0,0,13.06,13.06,0.0,0.0,0.0,0.0,0.0
3,ue13,0,0,29.49,29.49,11.111,11.111,11.111,-0.0,-0.0
3,ue14,0,0,8.05,8.05,0.0,0.0,0.0,0.0,0.0
3,ue15,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
3,ue16,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
3,ue17,0,0,4.69,4.69,0.0,0.0,0.0,0.0,0.0
3,ue18,0,0,8.52,8.52,-25.0,-25.0,-25.0,0.0,0.0
3,ue19,0,0,6.6,6.6,0.0,0.0,0.0,0.0,0.0
3,ue20,0,0,9.49,9.49,-25.0,-25.0,-25.0,-0.0,-0.0
3,ue21,0,0,29.38,29.38,0.0,0.0,0.0,0.0,0.0
3,ue22,0,0,4.63,4.63,0.0,0.0,0.0,0.0,0.0
3,ue23,0,0,7.97,7.97,0.0,0.0,0.0,0.0,0.0
3,ue24,0,0,27.53,27.53,-25.0,-25.0,-25.0,0.0,-0.0
3,ue25,0,0,9.49,9.49,11.111,11.111,11.111,0.0,-0.0
3,ue26,0,0,9.94,9.94,0.0,0.0,0.0,0.0,0.0
3,ue27,0,0,26.64,26.64,11.111,11.111,11.111,-0.0,-0.0
3,ue28,0,0,29.43,29.43,0.0,0.0,0.0,0.0,0.0
3,ue29,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
4,ue0,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
4,ue1,0,0,26.29,26.29,-20.0,-20.0,-20.0,0.0,0.0
4,ue2,0,0,32.78,32.78,28.571,28.571,28.571,0.0,0.0
4,ue3,0,0,35.69,35.69,0.0,0.0,0.0,0.0,0.0
4,ue4,0,0,20.29,20.29,14.286,14.286,14.286,0.0,0.0
4,ue5,0,0,10.77,10.77,14.286,14.286,14.286,0.0,0.0
4,ue6,0,0,30.84,30.84,0.0,0.0,0.0,0.0,0.0
4,ue7,0,0,7.9,7.9,0.0,0.0,0.0,0.0,0.0
4,ue8,0,0,16.98,16.98,-20.0,-20.0,-20.0,0.0,0.0
4,ue9,1,0,8.88,3.07,365.581,367.588,430.049,-2.007,-64.468
4,ue10,0,0,17.48,17.48,14.286,14.286,14.286,-0.0,0.0
4,ue11,1,0,4.97,5.48,103.024,102.512,100.89,0.512,2.134
4,ue12,0,0,18.41,18.41,0.0,0.0,0.0,0.0,0.0
4,ue13,0,0,31.9,31.9,28.571,28.571,28.571,0.0,0.0
4,ue14,0,0,11.82,11.82,-33.333,-33.333,-33.333,0.0,0.0
4,ue15,0,0,31.81,31.81,28.571,28.571,28.571,0.0,0.0
4,ue16,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
4,ue17,0,0,16.84,16.84,14.286,14.286,14.286,0.0,0.0
4,ue18,0,0,15.93,15.93,14.286,14.286,14.286,0.0,0.0
4,ue19,0,0,19.58,19.58,28.571,28.571,28.571,0.0,0.0
4,ue20,0,0,9.01,9.01,-33.333,-33.333,-33.333,0.0,0.0
4,ue21,0,0,13.81,13.81,28.571,28.571,28.571,0.0,0.0
4,ue22,0,0,32.1,32.1,28.571,28.571,28.571,0.0,0.0
4,ue23,0,0,27.31,27.31,-20.0,-20.0,-20.0,0.0,0.0
4,ue24,0,0,18.49,18.49,14.286,14.286,14.286,0.0,0.0
4,ue25,1,0,7.89,3.09,58.382,49.536,64.972,8.846,-6.59
4,ue26,0,0,12.79,12.79,-20.0,-20.0,-20.0,-0.0,-0.0
4,ue27,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
4,ue28,0,0,23.6,23.6,14.286,14.286,14.286,0.0,0.0
4,ue29,0,0,31.55,31.55,28.571,28.571,28.571,0.0,0.0
5,ue0,0,0,28.53,28.53,20.0,20.0,20.0,0.0,0.0
5,ue1,0,0,10.87,10.87,0.0,0.0,0.0,0.0,0.0
5,ue2,0,0,7.46,7.46,12.5,12.5,12.5,-0.0,-0.0
5,ue3,0,1,-120.0,-120.0,nan,12.5,12.5,nan,nan
5,ue4,0,0,26.85,26.85,20.0,20.0,20.0,0.0,0.0
5,ue5,0,0,12.73,12.73,20.0,20.0,20.0,0.0,-0.0
5,ue6,1,0,4.39,2.11,8.079,8.85,11.557,-0.771,-3.477
5,ue7,0,0,6.85,6.85,0.0,0.0,0.0,0.0,0.0
5,ue8,0,1,-120.0,-120.0,nan,12.5,12.5,nan,nan
5,ue9,0,0,6.48,6.48,-25.0,-25.0,-25.0,0.0,0.0
5,ue10,0,0,11.14,11.14,0.0,0.0,0.0,0.0,0.0
5,ue11,0,0,10.55,10.55,-25.0,-25.0,-25.0,-0.0,-0.0
5,ue12,0,0,5.66,5.66,0.0,0.0,0.0,0.0,0.0
5,ue13,0,0,4.3,4.3,0.0,0.0,0.0,0.0,0.0
5,ue14,0,0,16.66,16.66,12.5,12.5,12.5,0.0,0.0
5,ue15,0,0,4.95,4.95,0.0,0.0,0.0,0.0,0.0
5,ue16,0,0,32.66,32.66,0.0,0.0,0.0,0.0,0.0
5,ue17,0,0,7.19,7.19,0.0,0.0,0.0,0.0,0.0
5,ue18,0,0,16.71,16.71,-25.0,-25.0,-25.0,-0.0,-0.0
5,ue19,0,0,31.76,31.76,20.0,20.0,20.0,0.0,0.0
5,ue20,0,0,4.39,4.39,0.0,0.0,0.0,0.0,0.0
5,ue21,0,0,11.11,11.11,12.5,12.5,12.5,0.0,0.0
5,ue22,0,0,9.4,9.4,-33.333,-33.333,-33.333,0.0,0.0
5,ue23,0,1,-120.0,-120.0,nan,12.5,12.5,nan,nan
5,ue24,0,0,23.36,23.36,12.5,12.5,12.5,0.0,0.0
