scene,neighbor_load,mean_mbps,median_mbps,outage_frac
berlin_mitte,0.0,42.20077280727274,47.69265420000001,0.13333333333333333
berlin_mitte,0.25,32.135524690909094,26.0095698,0.13333333333333333
berlin_mitte,0.5,28.80918080181818,20.659633200000002,0.13333333333333333
berlin_mitte,0.75,26.690095292727275,16.888622972727276,0.13333333333333333
berlin_mitte,1.0,24.86491897090909,16.202523518181817,0.13333333333333333
paris_opera,0.0,39.7930770977143,38.15412336000001,0.13333333333333333
paris_opera,0.25,27.469887310285717,26.804118239999998,0.13333333333333333
paris_opera,0.5,23.716685041714285,20.80765584,0.13333333333333333
paris_opera,0.75,21.440189730857142,17.62808832,0.13333333333333333
paris_opera,1.0,19.952473068000003,16.527706560000002,0.13333333333333333
manhattan_mid,0.0,48.64684023,23.846327100000003,0.1
manhattan_mid,0.25,38.22603874200001,23.846327100000003,0.1
manhattan_mid,0.5,33.827332997999996,23.846327100000003,0.1
manhattan_mid,0.75,31.226481276000005,23.846327100000003,0.1
manhattan_mid,1.0,29.00436978,22.389883919999995,0.1
