scene,seed,curve,decisions_differ,steer_jaccard,cio_l1_db,regret_utility_pts,regret_median_pct_of_gain,regret_servededge_pct_of_gain,tput_inflation_median_pct,tput_inflation_mean_pct,median_ref_mbps,median_alt_mbps
manhattan_mid,0,ideal,0,1.0,0.0,0.0,0.0,0.0,6.5049,29.2204,22.8202,22.8202
manhattan_mid,0,offset,0,1.0,0.0,0.0,0.0,0.0,1.922,0.3763,22.8202,22.8202
manhattan_mid,0,attenuated,0,1.0,0.0,0.0,0.0,0.0,-22.2002,-13.4897,22.8202,22.8202
manhattan_mid,1,ideal,0,1.0,0.0,0.0,0.0,0.0,56.6511,34.5551,13.1247,13.1247
manhattan_mid,1,offset,0,1.0,0.0,0.0,0.0,0.0,4.3208,1.7348,13.1247,13.1247
manhattan_mid,1,attenuated,0,1.0,0.0,0.0,0.0,0.0,-5.52,-9.5417,13.1247,13.1247
manhattan_mid,2,ideal,0,1.0,0.0,0.0,0.0,0.0,17.0886,23.8114,14.7039,14.7039
manhattan_mid,2,offset,0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1973,14.7039,14.7039
manhattan_mid,2,attenuated,0,1.0,0.0,0.0,0.0,0.0,-10.2347,-4.8725,14.7039,14.7039
manhattan_mid,3,ideal,1,0.75,9.0,8.2245,33.598,-51.69,115.4175,42.8292,7.6404,6.8166
manhattan_mid,3,offset,1,0.6666666666666666,6.0,0.0543,16.4903,45.0543,4.9777,0.5638,7.6404,7.2361
manhattan_mid,3,attenuated,1,0.6,15.0,8.6918,33.598,-51.69,12.2191,-7.8009,7.6404,6.8166
manhattan_mid,4,ideal,0,1.0,0.0,0.0,nan,nan,13.3512,47.0201,21.0022,21.0022
manhattan_mid,4,offset,0,1.0,0.0,0.0,nan,nan,0.9263,1.0184,21.0022,21.0022
manhattan_mid,4,attenuated,1,0.0,7.0,0.1459,nan,nan,-14.7499,-6.2571,21.0022,21.3601
manhattan_mid,5,ideal,1,0.6666666666666666,9.0,0.3715,-23.7243,77.1157,15.8368,15.287,18.6946,19.0771
manhattan_mid,5,offset,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0563,18.6946,18.6946
manhattan_mid,5,attenuated,1,0.6666666666666666,9.0,0.3715,-23.7243,77.1157,-11.4843,-6.6986,18.6946,19.0771
manhattan_mid,6,ideal,0,1.0,0.0,0.0,0.0,nan,52.3067,36.1404,13.4867,13.4867
manhattan_mid,6,offset,1,0.5,3.0,0.0605,-17.8541,nan,1.5439,2.0172,13.4867,13.8616
manhattan_mid,6,attenuated,0,1.0,0.0,0.0,0.0,nan,-1.5495,-5.0624,13.4867,13.4867
manhattan_mid,7,ideal,0,1.0,0.0,0.0,nan,nan,57.068,17.8204,24.7268,24.7268
manhattan_mid,7,offset,0,1.0,0.0,0.0,nan,nan,5.1877,1.0482,24.7268,24.7268
manhattan_mid,7,attenuated,0,1.0,0.0,0.0,nan,nan,-5.1877,-8.0428,24.7268,24.7268
